condition,n,empirical_stat,ci_lower,mean,ci_upper
baseline,91,0.7802197802197802,0.6922839506172839,0.7812876678709256,0.8660331936105132
irrelevant,101,0.6138613861386139,0.5150703463203463,0.6135095486015233,0.7000742574257425
marked,96,0.6041666666666667,0.5068217603527003,0.6039018797045813,0.7045984848484849
too_little,90,0.6333333333333333,0.5274613899613899,0.6355744524166241,0.7273007856341188
too_much,86,0.5,0.38885416666666667,0.49705282351798785,0.602568493150685
