condition,n,empirical_stat,ci_lower,mean,ci_upper
baseline,112,0.7678571428571429,0.689646802812186,0.7658340652618105,0.8434978617248752
irrelevant,121,0.6198347107438017,0.5302344309234073,0.6204036052422032,0.7105263157894737
marked,120,0.6333333333333333,0.5432903009216872,0.6350088452540914,0.7143131868131868
too_little,104,0.6346153846153846,0.5344540229885058,0.635008300207178,0.7273152081563294
too_much,113,0.47787610619469023,0.39445445609436436,0.4790376701410174,0.5686319481921208
